bartoc,uri,label
http://bartoc.org/en/taxonomy/term/12443,http://eurovoc.europa.eu/4522,"maritime transport"
http://bartoc.org/en/taxonomy/term/11919,http://eurovoc.europa.eu/2041,"maritime shipping"
http://bartoc.org/en/taxonomy/term/12442,http://eurovoc.europa.eu/2282,"ship's flag"
http://bartoc.org/en/taxonomy/term/11643,http://eurovoc.europa.eu/4827,vessel
http://bartoc.org/en/taxonomy/term/11638,http://eurovoc.europa.eu/2043,"cargo vessel"
http://bartoc.org/en/taxonomy/term/12507,http://eurovoc.europa.eu/13,marketing
http://bartoc.org/en/taxonomy/term/12645,http://eurovoc.europa.eu/6089,"electronic commerce"
http://bartoc.org/en/taxonomy/term/11934,http://eurovoc.europa.eu/4418,"materials technology"
http://bartoc.org/en/taxonomy/term/12463,http://eurovoc.europa.eu/1410,"mechanical engineering"
http://bartoc.org/en/taxonomy/term/12444,http://eurovoc.europa.eu/155,shipbuilding
http://bartoc.org/en/taxonomy/term/11909,http://eurovoc.europa.eu/2950,"medical plant"
http://bartoc.org/en/taxonomy/term/12532,http://eurovoc.europa.eu/645,"Mediterranean agriculture"
http://bartoc.org/en/taxonomy/term/11921,http://eurovoc.europa.eu/5289,metalworking
http://bartoc.org/en/taxonomy/term/12656,http://eurovoc.europa.eu/1909,migration
http://bartoc.org/en/taxonomy/term/12491,http://eurovoc.europa.eu/7340,"military science"
http://bartoc.org/en/taxonomy/term/14075,http://eurovoc.europa.eu/1411,"mining industry"
http://bartoc.org/en/taxonomy/term/12454,http://eurovoc.europa.eu/3750,"mining production"
http://bartoc.org/en/taxonomy/term/11647,http://eurovoc.europa.eu/1969,money
http://bartoc.org/en/taxonomy/term/12622,http://eurovoc.europa.eu/4261,"motor car"
http://bartoc.org/en/taxonomy/term/11668,http://eurovoc.europa.eu/2022,museum
http://bartoc.org/en/taxonomy/term/12558,http://eurovoc.europa.eu/3521,national
http://bartoc.org/en/taxonomy/term/12583,http://eurovoc.europa.eu/2030,"National Socialism"
http://bartoc.org/en/taxonomy/term/11757,http://eurovoc.europa.eu/2034,nationality
http://bartoc.org/en/taxonomy/term/11680,http://eurovoc.europa.eu/100224,"natural and applied sciences"
http://bartoc.org/en/taxonomy/term/12647,http://eurovoc.europa.eu/1896,metrology
http://bartoc.org/en/taxonomy/term/11880,http://eurovoc.europa.eu/3952,"earth sciences"
http://bartoc.org/en/taxonomy/term/12553,http://eurovoc.europa.eu/1278,hydrology
http://bartoc.org/en/taxonomy/term/12554,http://eurovoc.europa.eu/1892,meteorology
http://bartoc.org/en/taxonomy/term/11957,http://eurovoc.europa.eu/6385,bioclimatology
http://bartoc.org/en/taxonomy/term/12561,http://eurovoc.europa.eu/2114,oceanography
http://bartoc.org/en/taxonomy/term/11615,http://eurovoc.europa.eu/6715,cindynics
http://bartoc.org/en/taxonomy/term/11645,http://eurovoc.europa.eu/1148,geography
http://bartoc.org/en/taxonomy/term/12599,http://eurovoc.europa.eu/2838,Asia
http://bartoc.org/en/taxonomy/term/12496,http://eurovoc.europa.eu/956,"Far East"
http://bartoc.org/en/taxonomy/term/12509,http://eurovoc.europa.eu/5969,China
http://bartoc.org/en/taxonomy/term/11650,http://eurovoc.europa.eu/1524,Japan
http://bartoc.org/en/taxonomy/term/11794,http://eurovoc.europa.eu/235,"South Korea"
http://bartoc.org/en/taxonomy/term/12579,http://eurovoc.europa.eu/5437,"former socialist countries"
http://bartoc.org/en/taxonomy/term/12030,http://eurovoc.europa.eu/281,Africa
http://bartoc.org/en/taxonomy/term/12529,http://eurovoc.europa.eu/690,Egypt
